{'time': '2021-05-18 03:01:20.693042', 'symbol': 'ADA/USDT', 'interval': '2h', 'trigger': 'SELL', 'price': 2.0981, 'limit': 2.0936566666666665}
{'time': '2021-05-18 07:01:21.549935', 'symbol': 'ADA/USDT', 'interval': '2h', 'trigger': 'BUY', 'price': 2.0029, 'limit': 2.1123200268507656}
{'time': '2021-05-18 17:01:01.784824', 'symbol': 'ADA/USDT', 'interval': '1h', 'trigger': 'BUY', 'price': 2.0059, 'limit': 2.113450338874253}
{'time': '2021-05-18 17:01:14.507979', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 1087.23, 'limit': 1103.6818559193944}
{'time': '2021-05-18 17:15:38.551305', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 2.0224, 'limit': 2.041097672444418}
{'time': '2021-05-20 01:01:45.112906', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 1.6863, 'limit': 1.5831800000000025}
{'time': '2021-05-20 01:16:25.405948', 'symbol': 'RLC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 5.3677, 'limit': 4.9317783333333285}
{'time': '2021-05-20 07:31:26.221695', 'symbol': 'RLC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 5.7521, 'limit': 5.089496666666668}
{'time': '2021-05-20 08:31:32.175180', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 1.8667, 'limit': 1.6684733333333357}
{'time': '2021-05-20 09:31:25.740015', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 39708.97, 'limit': 39999.426942926206}
{'time': '2021-05-20 18:46:18.755858', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 41593.05, 'limit': 40658.901333333335}
{'time': '2021-05-20 18:46:45.786120', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 1.8215, 'limit': 1.8150866666666694}
{'time': '2021-05-20 20:01:29.273170', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 1.7712, 'limit': 1.8202645839511837}
{'time': '2021-05-20 21:31:28.096576', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.9458, 'limit': 0.9451933333333334}
{'time': '2021-05-21 01:01:38.032693', 'symbol': 'ADA/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 1.7181, 'limit': 1.7523933599611854}
{'time': '2021-05-21 02:01:25.148280', 'symbol': 'BTC/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 40113.2, 'limit': 40329.60318368622}
{'time': '2021-05-21 05:31:22.549248', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 0.9006, 'limit': 0.9294997345623456}
{'time': '2021-05-21 06:31:19.186302', 'symbol': 'ETH/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 2707.63, 'limit': 2774.6541648949196}
{'time': '2021-05-21 21:16:20.240069', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 658.85, 'limit': 691.0985859306531}
{'time': '2021-05-21 22:01:33.344234', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 0.7453, 'limit': 0.7965870275693379}
{'time': '2021-05-21 22:16:17.823014', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 35841.88, 'limit': 36968.671795937844}
{'time': '2021-05-21 22:16:42.794021', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 2223.38, 'limit': 2405.744265177726}
{'time': '2021-05-22 06:01:23.943091', 'symbol': 'BCH/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 688.18, 'limit': 704.2560085696152}
{'time': '2021-05-22 11:31:17.001083', 'symbol': 'ETH/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 2273.43, 'limit': 2393.4097442630427}
{'time': '2021-05-22 12:01:24.126711', 'symbol': 'BCH/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 650.69, 'limit': 679.3679942031314}
{'time': '2021-05-22 12:31:20.676006', 'symbol': 'ADA/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 1.4679, 'limit': 1.5158345119809755}
{'time': '2021-05-22 12:31:45.076058', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 0.7439, 'limit': 0.7806324647967793}
{'time': '2021-05-22 13:46:19.439504', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 650.09, 'limit': 666.5043210413329}
{'time': '2021-05-22 14:01:30.003242', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 0.7511, 'limit': 0.7567080641032968}
{'time': '2021-05-22 14:31:24.843187', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 1.486, 'limit': 1.4985803023392417}
{'time': '2021-05-22 22:46:20.894904', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 632.79, 'limit': 647.762912357235}
{'time': '2021-05-23 00:01:25.497648', 'symbol': 'BCH/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 612.85, 'limit': 656.1305151702496}
{'time': '2021-05-24 04:00:46.638019', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 1.4489, 'limit': 1.3637283333333323}
{'time': '2021-05-24 08:00:45.088287', 'symbol': 'RLC/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 5.7055, 'limit': 5.243220000000003}
{'time': '2021-05-24 14:15:38.345816', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 715, 'limit': 647.9803333333334}
{'time': '2021-05-24 14:30:44.840714', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.7688, 'limit': 0.7157833333333332}
{'time': '2021-05-24 14:45:36.536099', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 2599.29, 'limit': 2422.0108333333337}
{'time': '2021-05-24 17:00:55.337434', 'symbol': 'RLC/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 5.8407, 'limit': 5.6023650000000105}
{'time': '2021-05-24 18:31:23.730794', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 38948.47, 'limit': 38144.12549999998}
{'time': '2021-05-24 19:31:23.198820', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 0.7838, 'limit': 0.6948249999999995}
{'time': '2021-05-25 02:00:21.758286', 'symbol': 'ADA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 1.5706, 'limit': 1.4980566666666697}
{'time': '2021-05-25 08:45:18.481298', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.7839, 'limit': 0.776668333333333}
{'time': '2021-05-25 13:00:27.151594', 'symbol': 'BTC/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 37328.78, 'limit': 38098.5493223576}
{'time': '2021-05-25 13:45:16.596622', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 687.46, 'limit': 705.0519676527848}
{'time': '2021-05-25 14:30:17.602772', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 0.7604, 'limit': 0.7682942150081309}
{'time': '2021-05-25 15:15:15.317654', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 706.82, 'limit': 700.3381666666667}
{'time': '2021-05-25 17:00:35.507681', 'symbol': 'ADA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 1.559, 'limit': 1.5370183333333356}
{'time': '2021-05-25 19:00:24.893075', 'symbol': 'ADA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 1.6298, 'limit': 1.5412783333333366}
{'time': '2021-05-25 19:30:15.907038', 'symbol': 'BTC/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 39365.95, 'limit': 38135.790999999976}
{'time': '2021-05-25 23:30:21.171262', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 0.8621, 'limit': 0.7837599999999995}
{'time': '2021-05-26 00:30:16.231247', 'symbol': 'BCH/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 776.17, 'limit': 718.0049999999977}
{'time': '2021-05-26 06:00:17.799553', 'symbol': 'XLM/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 0.45963, 'limit': 0.4314286666666668}
{'time': '2021-05-26 06:45:15.506632', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 2745, 'limit': 2801.911688936734}
{'time': '2021-05-26 08:15:21.548591', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.8415, 'limit': 0.8354300000000001}
{'time': '2021-05-26 10:30:16.799908', 'symbol': 'BTC/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 38509.7, 'limit': 38735.39564471319}
{'time': '2021-05-26 11:45:14.299521', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 38626.14, 'limit': 39506.516751267925}
{'time': '2021-05-26 12:00:30.675137', 'symbol': 'ADA/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 1.7263, 'limit': 1.5836066666666673}
{'time': '2021-05-26 13:15:15.924510', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 38460.38, 'limit': 39421.22048377341}
{'time': '2021-05-26 22:00:17.231711', 'symbol': 'BTC/USDT', 'interval': '1h', 'trigger': 'BUY', 'price': 37716.94, 'limit': 38590.8189410378}
{'time': '2021-05-27 04:00:35.950559', 'symbol': 'BTC/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 39308.17, 'limit': 38584.76433333335}
{'time': '2021-05-27 04:30:58.663071', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.9497, 'limit': 0.9301800000000001}
{'time': '2021-05-27 08:00:33.475626', 'symbol': 'ADA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 1.7368, 'limit': 1.7213333333333345}
{'time': '2021-05-27 11:00:33.112925', 'symbol': 'MANA/USDT', 'interval': '2h', 'trigger': 'SELL', 'price': 0.9117, 'limit': 0.7779083333333318}
{'time': '2021-05-27 11:30:36.460356', 'symbol': 'XLM/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 0.43146, 'limit': 0.43207723329887854}
{'time': '2021-05-27 12:45:32.672848', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 0.9106, 'limit': 0.9272767775472782}
{'time': '2021-05-27 17:00:37.224932', 'symbol': 'MANA/USDT', 'interval': '1d', 'trigger': 'BUY', 'price': 0.899, 'limit': 1.171422917962347, 'confidence': '12/26'}
{'time': '2021-05-27 17:01:16.043406', 'symbol': 'BTC/USDT', 'interval': '1h', 'trigger': 'BUY', 'price': 38287.33, 'limit': 38811.73944629672, 'confidence': '16/28'}
{'time': '2021-05-27 18:00:36.837945', 'symbol': 'ADA/USDT', 'interval': '1h', 'trigger': 'BUY', 'price': 1.6199, 'limit': 1.6786132603721198, 'confidence': '16/28'}
{'time': '2021-05-27 20:00:45.069958', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 1.6618, 'limit': 1.6862400306290548, 'confidence': '14/28'}
{'time': '2021-05-28 17:15:35.835450', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 2443.72, 'limit': 2489.826801031896, 'confidence': '13/28'}
{'time': '2021-05-28 19:00:38.338185', 'symbol': 'XLM/USDT', 'interval': '2h', 'trigger': 'BUY', 'price': 0.40504, 'limit': 0.42513700091944434, 'confidence': '19/28'}
{'time': '2021-05-28 20:45:37.126548', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 2519.73, 'limit': 2491.643333333332, 'confidence': '14/28'}
{'time': '2021-05-28 22:30:38.244847', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 0.8405, 'limit': 0.841091509980854, 'confidence': '11/26'}
{'time': '2021-05-29 04:00:42.365091', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 0.7833, 'limit': 0.8202382965390997, 'confidence': '18/26'}
{'time': '2021-05-29 04:30:34.757591', 'symbol': 'ETH/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 2426.02, 'limit': 2497.203599233903, 'confidence': '13/28'}
{'time': '2021-05-29 09:00:41.452687', 'symbol': 'ADA/USDT', 'interval': '8h', 'trigger': 'BUY', 'price': 1.3927, 'limit': 1.7527562805673007, 'confidence': '18/28'}
{'time': '2021-05-29 13:00:40.558718', 'symbol': 'ADA/USDT', 'interval': '8h', 'trigger': 'BUY', 'price': 1.361, 'limit': 1.752758524535836, 'confidence': '19/28'}
{'time': '2021-05-29 14:00:45.589495', 'symbol': 'XLM/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 0.35452, 'limit': 0.3678709693161372, 'confidence': '20/28'}
{'time': '2021-05-29 15:00:51.081804', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 642.19, 'limit': 651.4637235531598, 'confidence': '18/28'}
{'time': '2021-05-29 17:00:41.584504', 'symbol': 'ADA/USDT', 'interval': '6h', 'trigger': 'BUY', 'price': 1.4005, 'limit': 1.7308563504154866, 'confidence': '21/28'}
{'time': '2021-05-29 17:01:11.713271', 'symbol': 'ADA/USDT', 'interval': '6h', 'trigger': 'BUY', 'price': 1.4029, 'limit': 1.7308563504154866, 'confidence': '21/28'}
{'time': '2021-05-29 17:01:23.762014', 'symbol': 'BCH/USDT', 'interval': '1h', 'trigger': 'BUY', 'price': 650.63, 'limit': 701.0657886625443, 'confidence': '19/28'}
{'time': '2021-05-29 17:15:38.258977', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 1.3889, 'limit': 1.4067476388275566, 'confidence': '22/28'}
{'time': '2021-05-29 18:45:35.986834', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 33810.35, 'limit': 34408.69429479384, 'confidence': '14/28'}
{'time': '2021-05-29 19:00:41.463066', 'symbol': 'ADA/USDT', 'interval': '6h', 'trigger': 'BUY', 'price': 1.3862, 'limit': 1.730856351869459, 'confidence': '20/28'}
{'time': '2021-05-29 19:01:01.530241', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 0.7006, 'limit': 0.7330178399498736, 'confidence': '18/28'}
{'time': '2021-05-29 19:15:36.028770', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 2238.44, 'limit': 2301.8041041220886, 'confidence': '13/28'}
{'time': '2021-05-29 20:45:38.272263', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 2280.14, 'limit': 2285.7773812476203, 'confidence': '15/28'}
{'time': '2021-05-29 21:00:48.436303', 'symbol': 'ADA/USDT', 'interval': '6h', 'trigger': 'BUY', 'price': 1.4878, 'limit': 1.730856351869459, 'confidence': '18/28'}
{'time': '2021-05-29 21:45:37.737862', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 34876.65, 'limit': 34301.175666666684, 'confidence': '15/28'}
{'time': '2021-05-30 02:00:37.160877', 'symbol': 'BCH/USDT', 'interval': '1h', 'trigger': 'BUY', 'price': 674.69, 'limit': 683.5800235536451, 'confidence': '18/28'}
{'time': '2021-05-30 02:45:38.640266', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 675.05, 'limit': 649.1051666666668, 'confidence': '11/28'}
{'time': '2021-05-30 05:45:35.956284', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 35742.69, 'limit': 35070.577500000014, 'confidence': '14/28'}
{'time': '2021-05-30 05:45:48.507636', 'symbol': 'XLM/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.38532, 'limit': 0.37955600000000006, 'confidence': '7/28'}
{'time': '2021-05-30 06:45:36.565771', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 2381.58, 'limit': 2348.298, 'confidence': '14/28'}
{'time': '2021-05-30 07:00:37.311875', 'symbol': 'BCH/USDT', 'interval': '2h', 'trigger': 'BUY', 'price': 663.32, 'limit': 711.6649271290315, 'confidence': '17/28'}
{'time': '2021-05-30 07:01:01.229338', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 35591.16, 'limit': 35165.483333333344, 'confidence': '14/28'}
{'time': '2021-05-30 10:00:38.374977', 'symbol': 'ETH/USDT', 'interval': '1h', 'trigger': 'BUY', 'price': 2412.05, 'limit': 2424.205904260535, 'confidence': '14/28'}
{'time': '2021-05-30 12:00:38.469578', 'symbol': 'XLM/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 0.38373, 'limit': 0.3813308333333337, 'confidence': '11/28'}
{'time': '2021-05-30 12:00:55.648446', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 0.8152, 'limit': 0.7859350000000006, 'confidence': '16/28'}
{'time': '2021-05-30 12:15:37.537224', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 1.6449, 'limit': 1.6163133333333333, 'confidence': '15/28'}
{'time': '2021-05-30 12:30:40.041273', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 36200.94, 'limit': 35692.23783333335, 'confidence': '17/28'}
{'time': '2021-05-30 13:00:49.496594', 'symbol': 'BTC/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 36048, 'limit': 35482.56200000005, 'confidence': '17/28'}
{'time': '2021-05-30 14:00:42.793570', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 0.7966, 'limit': 0.7594299999999997, 'confidence': '13/26'}
{'time': '2021-05-30 15:00:49.971469', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 35990.9, 'limit': 35829.536666666674, 'confidence': '15/28'}
{'time': '2021-05-30 15:01:01.484224', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 1.6102, 'limit': 1.631499594245828, 'confidence': '17/28'}
{'time': '2021-05-30 15:30:43.045047', 'symbol': 'MANA/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 0.7879, 'limit': 0.7957492196764184, 'confidence': '15/26'}
{'time': '2021-05-30 17:01:10.550379', 'symbol': 'XLM/USDT', 'interval': '30m', 'trigger': 'BUY', 'price': 0.37061, 'limit': 0.37564156240582725, 'confidence': '23/28'}
{'time': '2021-05-30 17:01:21.093087', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 35532.1, 'limit': 35822.000432908775, 'confidence': '14/28'}
{'time': '2021-05-30 18:15:37.661782', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'BUY', 'price': 35231.8, 'limit': 35791.87389220327, 'confidence': '16/28'}
{'time': '2021-05-31 03:00:38.708825', 'symbol': 'ADA/USDT', 'interval': '2h', 'trigger': 'SELL', 'price': 1.6125, 'limit': 1.5918066666666653, 'confidence': '16/28'}
{'time': '2021-05-31 05:00:49.237015', 'symbol': 'XLM/USDT', 'interval': '2h', 'trigger': 'SELL', 'price': 0.40424, 'limit': 0.3983271666666681, 'confidence': '10/28'}
{'time': '2021-05-31 08:00:36.977006', 'symbol': 'BCH/USDT', 'interval': '1h', 'trigger': 'SELL', 'price': 683.91, 'limit': 663.3164999999976, 'confidence': '13/28'}
{'time': '2021-05-31 12:00:41.767831', 'symbol': 'ADA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 1.6502, 'limit': 1.6182799999999995, 'confidence': '17/28'}
{'time': '2021-05-31 12:00:54.705729', 'symbol': 'ADA/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 1.6517, 'limit': 1.6310783333333339, 'confidence': '17/28'}
{'time': '2021-05-31 13:00:50.494160', 'symbol': 'MANA/USDT', 'interval': '6h', 'trigger': 'BUY', 'price': 0.8197, 'limit': 0.8667489097106357, 'confidence': '13/26'}
{'time': '2021-05-31 13:01:06.822985', 'symbol': 'MANA/USDT', 'interval': '30m', 'trigger': 'SELL', 'price': 0.8197, 'limit': 0.7916983333333335, 'confidence': '13/26'}
{'time': '2021-05-31 13:30:40.892297', 'symbol': 'BCH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 697.23, 'limit': 685.4023333333332, 'confidence': '14/28'}
{'time': '2021-05-31 14:15:36.095239', 'symbol': 'ETH/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 2618.66, 'limit': 2548.5966666666677, 'confidence': '20/28'}
{'time': '2021-05-31 14:30:38.675573', 'symbol': 'BTC/USDT', 'interval': '15m', 'trigger': 'SELL', 'price': 36770.95, 'limit': 36577.531500000034, 'confidence': '17/28'}
{'time': '2021-05-31 15:00:40.643977', 'symbol': 'MANA/USDT', 'interval': '6h', 'trigger': 'BUY', 'price': 0.829, 'limit': 0.8667489097106357, 'confidence': '15/26'}
